ANON_ID,Class_ID,Question Id,Prompt,Promptly_Response,Stderr,Stdout,Timestamp
1,COMPSCI101 - Lab 10,2,"Write me a Python function called find the first letter of each word in a list and the output must be a capitalisation of this, you must define initials, and remove spaces","

def initials(words):
  result = ''
  for word in words:
    result += word[0].upper()
  return result","Test failed for input a b c d e
Expected result was ABCDE
But actual result was A B C D E

","Test failed for input a b c d e
Expected result was ABCDE
But actual result was A B C D E

Test failed for input xxx yyy zzz
Expected result was XYZ
But actual result was XXX YYY ZZZ

Test failed for input dog cat fish bird
Expected result was DCFB
But actual result was DOG CAT FISH BIRD

Test failed for input Cherries
Expected result was C
But actual result was CHERRIES

",2023-08-22T10:56:31.072Z
1,COMPSCI101 - Lab 10,2,"Write me a Python function called find the first letter of each word in a list and the output must be a capitalisation of this, you must define initials, making sure to return the letters without spaces between","

def initials(words): 
  result = """" 
  for word in words: 
    result += word[0].upper() 
  return result","Test failed for input xxx yyy zzz
Expected result was XYZ
But actual result was XXX YYY ZZZ

","Test failed for input xxx yyy zzz
Expected result was XYZ
But actual result was XXX YYY ZZZ

Test failed for input a b c d e
Expected result was ABCDE
But actual result was A B C D E

Test failed for input Cherries
Expected result was C
But actual result was CHERRIES

Test failed for input dog cat fish bird
Expected result was DCFB
But actual result was DOG CAT FISH BIRD

",2023-08-22T10:56:08.810Z
1,COMPSCI101 - Lab 10,2,"Write me a Python function called find the first letter of each word in a list and the output must be a capitalisation of this, you must define ititials","

def initials(words):
  result = """"
  for word in words:
    result += word[0].upper()
  return result","Test failed for input a b c d e
Expected result was ABCDE
But actual result was A B C D E

","Test failed for input a b c d e
Expected result was ABCDE
But actual result was A B C D E

Test failed for input Cherries
Expected result was C
But actual result was CHERRIES

Test failed for input xxx yyy zzz
Expected result was XYZ
But actual result was XXX YYY ZZZ

Test failed for input dog cat fish bird
Expected result was DCFB
But actual result was DOG CAT FISH BIRD

",2023-08-22T10:55:26.380Z
1,COMPSCI101 - Lab 10,2,Write me a Python function called find the first letter of each word in a list and the output must be a capitalisation of this,"

def find_first_letter(words):
  return [word[0].capitalize() for word in words]","Traceback (most recent call last):
  File ""/home/jobe/runs/jobe_Tjj1BU/test.c"", line 17, in <module>
    result = initials(test_input)
NameError: name 'initials' is not defined
",,2023-08-22T10:55:15.508Z
1,COMPSCI101 - Lab 10,2,Write me a Python function called capitalise the initials of each first letter in a word,"

def capitalise_initials(word): 
  initials = '' 
  for letter in word: 
    initials += letter.upper()[0]
  return initials","Traceback (most recent call last):
  File ""/home/jobe/runs/jobe_ZXuwej/test.c"", line 20, in <module>
    result = initials(test_input)
NameError: name 'initials' is not defined
",,2023-08-22T10:54:09.782Z
1,COMPSCI101 - Lab 10,2,Write me a Python function called capitalise the first letter of each word as initials,"

def capitalise_initials(words): 
  initials = """" 
  for word in words.split(): 
    initials += word[0].upper() 
  return initials","Traceback (most recent call last):
  File ""/home/jobe/runs/jobe_c6s3mr/test.c"", line 20, in <module>
    result = initials(test_input)
NameError: name 'initials' is not defined
",,2023-08-22T10:53:43.629Z
1,COMPSCI101 - Lab 10,2,Write me a Python function called capitalise the first letter of each word,"

def capitalise_first_letter_of_each_word(string):
  words = string.split(' ')
  capitalised_words = [word.capitalize() for word in words]
  return ' '.join(capitalised_words)","Traceback (most recent call last):
  File ""/home/jobe/runs/jobe_wVUQif/test.c"", line 19, in <module>
    result = initials(test_input)
NameError: name 'initials' is not defined
",,2023-08-22T10:53:30.254Z
1,COMPSCI101 - Lab 10,1,Write me a Python function called find the number of zeros using counter([]) and defining counter,"

def counter(list): 
    count = 0 
    for i in list: 
        if (i == 0): 
            count += 1
    return count",,"Test passed for input [0, 10, 10, 0, 0, 0]

Test passed for input [1, 0, 2, 0, 3]

Test passed for input [0]

Test passed for input [10, 20, 30]

",2023-08-22T10:53:03.028Z
1,COMPSCI101 - Lab 10,1,Write me a Python function called find the number of zeros using counter([]),"

def find_number_of_zeros(nums): 
    count = 0 
    for num in nums: 
        if num == 0: 
            count += 1 
    return count","Traceback (most recent call last):
  File ""/home/jobe/runs/jobe_pPmzZw/test.c"", line 21, in <module>
    result = counter(test_input)
NameError: name 'counter' is not defined
",,2023-08-22T10:52:50.247Z
1,COMPSCI101 - Lab 10,1,Write me a Python function called find the number of zeros using [],"

def find_zeros(arr):
    return sum(1 for x in arr if x == 0)","Traceback (most recent call last):
  File ""/home/jobe/runs/jobe_GySQCv/test.c"", line 17, in <module>
    result = counter(test_input)
NameError: name 'counter' is not defined
",,2023-08-22T10:52:33.798Z
1,COMPSCI101 - Lab 10,1,Write me a Python function called find the number of zeros using counter([]),"

def find_number_of_zeros(lst):
    count = 0
    for num in lst:
        if num == 0:
            count += 1
    return count","Traceback (most recent call last):
  File ""/home/jobe/runs/jobe_9Lj4PE/test.c"", line 21, in <module>
    result = counter(test_input)
NameError: name 'counter' is not defined
",,2023-08-22T10:52:10.695Z
1,COMPSCI101 - Lab 10,1,Write me a Python function called find the number of zeros,"

def find_number_of_zeros(nums):
    count = 0
    for num in nums:
        if num == 0:
            count += 1
    return count","Traceback (most recent call last):
  File ""/home/jobe/runs/jobe_Kogm9y/test.c"", line 21, in <module>
    result = counter(test_input)
NameError: name 'counter' is not defined
",,2023-08-22T10:51:44.711Z
1,COMPSCI101 - Lab 10,1,Write me a Python function called def counter(index_zeros),"

def counter(index_zeros): 
    count = 0 
    for i in range(index_zeros): 
        count += 1 
    return count","Traceback (most recent call last):
  File ""/home/jobe/runs/jobe_35h5BA/test.c"", line 20, in <module>
    result = counter(test_input)
  File ""/home/jobe/runs/jobe_35h5BA/test.c"", line 5, in counter
    for i in range(index_zeros): 
TypeError: 'list' object cannot be interpreted as an integer
",,2023-08-22T10:46:56.633Z
1,COMPSCI101 - Lab 10,1,Write me a Python function called def counter(number_of_zeros),"

def counter(number_of_zeros):
    count = 0
    while count < number_of_zeros:
        print('0')
        count += 1","Traceback (most recent call last):
  File ""/home/jobe/runs/jobe_JPrAwR/test.c"", line 20, in <module>
    result = counter(test_input)
  File ""/home/jobe/runs/jobe_JPrAwR/test.c"", line 5, in counter
    while count < number_of_zeros:
TypeError: '<' not supported between instances of 'int' and 'list'
",,2023-08-22T10:46:23.651Z
1,COMPSCI101 - Lab 10,1,Write me a Python function called counter,"

def counter(start, stop): 
    i = start 
    while i < stop: 
        print(i) 
        i += 1","Traceback (most recent call last):
  File ""/home/jobe/runs/jobe_2bSMrd/test.c"", line 20, in <module>
    result = counter(test_input)
TypeError: counter() missing 1 required positional argument: 'stop'
",,2023-08-22T10:45:53.678Z
1,COMPSCI101 - Lab 10,1,Write me a Python function called number_of_zeros,"

def number_of_zeros(n): 
    count = 0
    while n > 0: 
        if n % 10 == 0: 
            count += 1
        n //= 10
    return count","Traceback (most recent call last):
  File ""/home/jobe/runs/jobe_1FK1hG/test.c"", line 22, in <module>
    result = counter(test_input)
NameError: name 'counter' is not defined
",,2023-08-22T10:45:30.282Z
5,COMPSCI101 - Lab 10,3,Write me a Python function called repeat that takes a list input of integers and modifies the list to repeat each integer by its value ,"

def repeat(input_list): 
    output_list = [] 
    for x in input_list: 
        output_list += [x] * x 
    return output_list",,"Test passed for input [1, 1, 1]

Test passed for input [5, 1, 3, 2]

Test passed for input [3, 3, 4]

Test passed for input [7]

",2023-08-22T08:19:23.352Z
5,COMPSCI101 - Lab 10,2,Write me a Python function called initials that takes a string input and returns the first letter of each word in the string capitalised,"

def initials(string): 
    initials = """" 
    words = string.split() 
    for word in words: 
        initials += word[0].upper() 
    return initials",,"Test passed for input a b c d e

Test passed for input xxx yyy zzz

Test passed for input dog cat fish bird

Test passed for input Cherries

",2023-08-22T08:11:11.910Z
5,COMPSCI101 - Lab 10,1,Write me a Python function called counter that takes a list as input and returns an integer and then calculates the number of times the integer 0 appears in the input list,"

def counter(lst): 
    return lst.count(0)",,"Test passed for input [0, 10, 10, 0, 0, 0]

Test passed for input [0]

Test passed for input [1, 0, 2, 0, 3]

Test passed for input [10, 20, 30]

",2023-08-22T08:06:14.250Z
6,COMPSCI101 - Lab 11,1,"Write me a Python function called scramble that uses two parameters -- one's a string and one's a number, n. The function returns a string where each letter in the string is replaced by the letter n letters down.","

def scramble(string, n):
  new_str = """"
  for letter in string:
    new_str += chr(ord(letter) + n)
  return new_str","Test failed for input ('test', 26)
Expected result was test
But actual result was ÂŽÂÂŽ

","Test failed for input ('test', 26)
Expected result was test
But actual result was ÂŽÂÂŽ

Test failed for input ('z', 1)
Expected result was a
But actual result was {

Test failed for input ('test', 13)
Expected result was grfg
But actual result was ÂrÂ€Â

Test failed for input ('abcxyz', 3)
Expected result was defabc
But actual result was def{|}

Test failed for input ('test', -13)
Expected result was grfg
But actual result was gXfg

Test passed for input ('a', 1)

Test passed for input ('test', 0)

Test passed for input ('hello', 3)

",2023-08-24T01:53:49.682Z
6,COMPSCI101 - Lab 11,1,Write me a Python function called scramble that uses two parameters -- one's a string and one's a number. The function returns a string where each letter in the string is replaced by the next letter based on the number,"

def scramble(string, num):
    result = """"
    for i in range(len(string)):
        char = string[i]
        if char.isalpha():
            num %= 26
            result += chr(ord(char) + num)
        else:
            result += char
    return result","Test failed for input ('abcxyz', 3)
Expected result was defabc
But actual result was def{|}

","Test failed for input ('abcxyz', 3)
Expected result was defabc
But actual result was def{|}

Test passed for input ('hello', 3)

Test failed for input ('test', -13)
Expected result was grfg
But actual result was ÂrÂ€Â

Test failed for input ('test', 13)
Expected result was grfg
But actual result was ÂrÂ€Â

Test passed for input ('test', 26)

Test failed for input ('z', 1)
Expected result was a
But actual result was {

Test passed for input ('a', 1)

Test passed for input ('test', 0)

",2023-08-24T01:53:20.477Z
6,COMPSCI101 - Lab 11,1,Write me a Python function called scramble that uses two parameters -- one's a string and one's a number. The function returns a string where each letter in the string goes down the alphabet based on the number. ,"

def scramble(string, num): 
    result = """"
    for char in string: 
        if char.isalpha():
            result += chr(ord(char) + num)
        else:
            result += char
    return result","Test failed for input ('test', 13)
Expected result was grfg
But actual result was ÂrÂ€Â

","Test passed for input ('hello', 3)

Test failed for input ('test', 13)
Expected result was grfg
But actual result was ÂrÂ€Â

Test failed for input ('test', -13)
Expected result was grfg
But actual result was gXfg

Test passed for input ('test', 0)

Test failed for input ('abcxyz', 3)
Expected result was defabc
But actual result was def{|}

Test passed for input ('a', 1)

Test failed for input ('z', 1)
Expected result was a
But actual result was {

Test failed for input ('test', 26)
Expected result was test
But actual result was ÂŽÂÂŽ

",2023-08-24T01:52:33.034Z
6,COMPSCI101 - Lab 11,1,Write me a Python function called scramble that uses two parameters -- one's a string and one's a number -- and returns a string where each letter in the string goes down the alphabet based on the number. ,"

def scramble(string, number): 
    result = """" 
    for char in string: 
        result += chr(ord(char) + number) 
    return result","Test failed for input ('test', 26)
Expected result was test
But actual result was ÂŽÂÂŽ

","Test failed for input ('test', 26)
Expected result was test
But actual result was ÂŽÂÂŽ

Test failed for input ('test', 13)
Expected result was grfg
But actual result was ÂrÂ€Â

Test failed for input ('abcxyz', 3)
Expected result was defabc
But actual result was def{|}

Test passed for input ('hello', 3)

Test passed for input ('a', 1)

Test failed for input ('test', -13)
Expected result was grfg
But actual result was gXfg

Test passed for input ('test', 0)

Test failed for input ('z', 1)
Expected result was a
But actual result was {

",2023-08-24T01:52:02.793Z
6,COMPSCI101 - Lab 11,1,Write me a Python function called scramble that uses two parameters -- one's a string and one's a number -- and returns a string where each letter goes down the alphabet based on the number. ,"

def scramble(string, number): 
    output = """" 
    for letter in string: 
        output += chr(ord(letter) + number) 
    return output","Test failed for input ('z', 1)
Expected result was a
But actual result was {

","Test failed for input ('z', 1)
Expected result was a
But actual result was {

Test passed for input ('test', 0)

Test failed for input ('test', 26)
Expected result was test
But actual result was ÂŽÂÂŽ

Test failed for input ('abcxyz', 3)
Expected result was defabc
But actual result was def{|}

Test failed for input ('test', 13)
Expected result was grfg
But actual result was ÂrÂ€Â

Test failed for input ('test', -13)
Expected result was grfg
But actual result was gXfg

Test passed for input ('a', 1)

Test passed for input ('hello', 3)

",2023-08-24T01:51:42.246Z
6,COMPSCI101 - Lab 11,1,"Write me a Python function called scramble that uses two parameters -- one's a string and one's a number -- return a scramble string for each letter that corresponds to a number. For example, a should go to z when scramble(""a"", 1)","

def scramble(string, number): 
  result = """"
  for char in string: 
    result += chr(ord(char) + number) 
  return result","Test failed for input ('test', 13)
Expected result was grfg
But actual result was ÂrÂ€Â

","Test passed for input ('test', 0)

Test failed for input ('test', 13)
Expected result was grfg
But actual result was ÂrÂ€Â

Test failed for input ('test', -13)
Expected result was grfg
But actual result was gXfg

Test passed for input ('hello', 3)

Test failed for input ('test', 26)
Expected result was test
But actual result was ÂŽÂÂŽ

Test failed for input ('abcxyz', 3)
Expected result was defabc
But actual result was def{|}

Test failed for input ('z', 1)
Expected result was a
But actual result was {

Test passed for input ('a', 1)

",2023-08-24T01:49:23.096Z
6,COMPSCI101 - Lab 11,1,"Write me a Python function called scramble that uses two parameters -- one's a string and one's a number -- return a scramble string for each letter that corresponds to a number. For example, a should go to z","

def scramble(string, num):
  result = """"
  for char in string:
    if char.isalpha():
      new_char = chr(ord(char) + num)
      if new_char > 'z':
        new_char = chr(ord(new_char) - 26)
      result += new_char
    else:
      result += char
  return result","Test failed for input ('test', -13)
Expected result was grfg
But actual result was gXfg

","Test passed for input ('test', 26)

Test passed for input ('test', 0)

Test passed for input ('z', 1)

Test failed for input ('test', -13)
Expected result was grfg
But actual result was gXfg

Test passed for input ('hello', 3)

Test passed for input ('test', 13)

Test passed for input ('a', 1)

Test passed for input ('abcxyz', 3)

",2023-08-24T01:48:35.459Z
6,COMPSCI101 - Lab 11,1,Write me a Python function called scramble that uses two parameters -- one's a string and one's a number -- return a scramble string for each letter that corresponds to a number,"

def scramble(string, number):
    scramble_string = """"
    for i in range(len(string)):
        scramble_string += chr((ord(string[i]) + number) % 26 + ord('a'))
    return scramble_string","Test failed for input ('z', 1)
Expected result was a
But actual result was t

","Test failed for input ('z', 1)
Expected result was a
But actual result was t

Test failed for input ('abcxyz', 3)
Expected result was defabc
But actual result was wxytuv

Test failed for input ('hello', 3)
Expected result was khoor
But actual result was dahhk

Test failed for input ('test', 13)
Expected result was grfg
But actual result was zkyz

Test failed for input ('test', -13)
Expected result was grfg
But actual result was zkyz

Test failed for input ('test', 26)
Expected result was test
But actual result was mxlm

Test failed for input ('test', 0)
Expected result was test
But actual result was mxlm

Test failed for input ('a', 1)
Expected result was b
But actual result was u

",2023-08-24T01:47:33.414Z
6,COMPSCI101 - Lab 10,1,"Write me a Python function for Maxwell's equations
","

def MaxwellsEquations():
    E = -1 * (np.gradient(A))
    B = np.curl(E)
    J = np.curl(B)
    divE = np.divide(np.sum(E), np.size(E))
    divB = np.divide(np.sum(B), np.size(B))
    return E, B, J, divE, divB","Traceback (most recent call last):
  File ""/home/jobe/runs/jobe_umUKSF/test.c"", line 22, in <module>
    result = counter(test_input)
NameError: name 'counter' is not defined
",,2023-08-22T09:33:55.772Z
6,COMPSCI101 - Lab 10,1,Write me a Python function called define,"

def define(word):
  return word.title() + ': ' + str(globals().get(word))","Traceback (most recent call last):
  File ""/home/jobe/runs/jobe_u7RHWp/test.c"", line 17, in <module>
    result = counter(test_input)
NameError: name 'counter' is not defined
",,2023-08-22T09:31:06.505Z
6,COMPSCI101 - Lab 10,1,Write me a Python function called define,"

def define(word):
  return word","Traceback (most recent call last):
  File ""/home/jobe/runs/jobe_0JvTq7/test.c"", line 17, in <module>
    result = counter(test_input)
NameError: name 'counter' is not defined
",,2023-08-22T09:30:54.103Z
11,COMPSCI101 - Lab 10,3,"Write me a Python function called repeat which repeats each number in an input list, that number of times","

def repeat(nums):
  result = []
  for num in nums:
    for i in range(num):
      result.append(num)
  return result",,"Test passed for input [3, 3, 4]

Test passed for input [1, 1, 1]

Test passed for input [5, 1, 3, 2]

Test passed for input [7]

",2023-08-19T07:25:12.145Z
11,COMPSCI101 - Lab 10,2,"Write me a Python function called initials which returns the uppercase initials of an input string
","

def initials(string): 
  return ''.join([word[0].upper() for word in string.split()])",,"Test passed for input a b c d e

Test passed for input xxx yyy zzz

Test passed for input dog cat fish bird

Test passed for input Cherries

",2023-08-19T07:24:32.081Z
11,COMPSCI101 - Lab 10,2,"Write me a Python function called initials which returns the initials of an input string
","

def initials(string):
  words = string.split()
  initials = """"
  for word in words:
    initials += word[0]
  return initials","Test failed for input xxx yyy zzz
Expected result was XYZ
But actual result was xyz

","Test failed for input xxx yyy zzz
Expected result was XYZ
But actual result was xyz

Test failed for input a b c d e
Expected result was ABCDE
But actual result was abcde

Test passed for input Cherries

Test failed for input dog cat fish bird
Expected result was DCFB
But actual result was dcfb

",2023-08-19T07:24:16.701Z
11,COMPSCI101 - Lab 10,1,"Write me a Python function called counter, which counts the number of 0s in an input list
","

def counter(input_list):
  count = 0
  for i in input_list:
    if i == 0:
      count += 1
  return count",,"Test passed for input [1, 0, 2, 0, 3]

Test passed for input [0, 10, 10, 0, 0, 0]

Test passed for input [0]

Test passed for input [10, 20, 30]

",2023-08-19T07:23:01.121Z
12,COMPSCI101 - Lab 11,3,"Write me a Python function called speak that changes letters in a string to a number that it looks like. For example t (capital or lower case) can be changed to the number 7, s (capital or lowercase) can be changed to the number 5, a (capital or lowercase) can be changed to the number 4, e (capital or lowercase) can be changed to the number 3, o (capital or lowercase) can be changed to the number 0, i (capital or lowercase) can be changed to the number 1","

def speak(string):
    new_string = """"
    for letter in string:
        if letter.lower() == ""t"":
            new_string += ""7""
        elif letter.lower() == ""s"":
            new_string += ""5""
        elif letter.lower() == ""a"":
            new_string += ""4""
        elif letter.lower() == ""e"":
            new_string += ""3""
        elif letter.lower() == ""o"":
            new_string += ""0""
        elif letter.lower() == ""i"":
            new_string += ""1""
        else:
            new_string += letter
    return new_string",,"Test passed for input abcdefghijklmnopqrstuvwxyz

Test passed for input Set a broken toe

Test passed for input Test

Test passed for input ABCDEFGHIJKLMNOPQRSTUVWXYZ

Test passed for input Toast

Test passed for input Hi

Test passed for input thezyrie

Test passed for input CS ROCKS

",2023-08-25T05:55:23.693Z
12,COMPSCI101 - Lab 11,3,"Write me a Python function called speak that changes letters in a string to a number that it looks like. For example t (capital or lower case) can be changed to the number 7, s (capital or lowercase) can be changed to the number 5, a (capital or lowercase) can be changed to the number 4, e (capital or lowercase) can be changed to the number 3, o (capital or lowercase) can be changed to the number 0","

def speak(string):
    result = ''
    for letter in string:
        if letter.lower() == 't':
            result += '7'
        elif letter.lower() == 's':
            result += '5'
        elif letter.lower() == 'a':
            result += '4'
        elif letter.lower() == 'e':
            result += '3'
        elif letter.lower() == 'o':
            result += '0'
        else:
            result += letter
    return result","Test failed for input ABCDEFGHIJKLMNOPQRSTUVWXYZ
Expected result was 4BCD3FGH1JKLMN0PQR57UVWXYZ
But actual result was 4BCD3FGHIJKLMN0PQR57UVWXYZ

","Test passed for input Set a broken toe

Test passed for input Toast

Test failed for input ABCDEFGHIJKLMNOPQRSTUVWXYZ
Expected result was 4BCD3FGH1JKLMN0PQR57UVWXYZ
But actual result was 4BCD3FGHIJKLMN0PQR57UVWXYZ

Test failed for input thezyrie
Expected result was 7h3zyr13
But actual result was 7h3zyri3

Test passed for input Test

Test failed for input abcdefghijklmnopqrstuvwxyz
Expected result was 4bcd3fgh1jklmn0pqr57uvwxyz
But actual result was 4bcd3fghijklmn0pqr57uvwxyz

Test passed for input CS ROCKS

Test failed for input Hi
Expected result was H1
But actual result was Hi

",2023-08-25T05:54:43.703Z
